DATE,IPG3113N
2021-12-01,126.5746
2022-01-01,110.8825
2022-02-01,108.4339
2022-03-01,106.4680
2022-04-01,105.5225
2022-05-01,97.6997
2022-06-01,98.8312
2022-07-01,97.6889
2022-08-01,98.7723
2022-09-01,114.3283
2022-10-01,129.2725
2022-11-01,121.9423
2022-12-01,121.8197
2023-01-01,116.3841
2023-02-01,112.6877
2023-03-01,113.2200
